FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON,SCORE
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,product,QUAM ACCUSANTIUM MINUS,,FN,FAIL_MODEL,undefined
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,91936.00,210,"FP,FN",FAIL_MODEL,0.6289
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,,-8,FP,FAIL_MODEL,0.4974
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,,"1,243,384",FP,FAIL_MODEL,0.4153
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,,Delv,FP,FAIL_MODEL,0.5088
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,,bbls,FP,FAIL_MODEL,0.6055
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,,210,FP,FAIL_MODEL,0.6142
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,total_amount,678500.46,1.4943000,"FP,FN",FAIL_MODEL,0.5708
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,price,,credit@iqulfoil.com,FP,FAIL_MODEL,0.5477
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,supplier_name,JENKINS-HAMPTON,JENKINS-HAMPTON,TP,EXTRACT_MODEL,0.4790
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,invoice_number,67080072,67080072,TP,EXTRACT_MODEL,0.7856
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,email,credit@iqulfoil.com,credit@iqulfoil.com,TP,EXTRACT_MODEL,0.9115
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,invoice_date,01/09/2003,01/09/2003,TP,EXTRACT_MODEL,0.8370
389057_1526301926_0.html,product,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,TP,EXTRACT_MODEL,0.4263
389057_1526301926_0.html,product,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,,FN,FAIL_MODEL,undefined
389057_1526301926_0.html,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,,FN,FAIL_MODEL,undefined
389057_1526301926_0.html,product,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,,FN,FAIL_MODEL,undefined
389057_1526301926_0.html,product,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,,FN,FAIL_MODEL,undefined
